Agent DT1 issued deposit of $459.00 at: 9/22/24 7:16:16 PM EDT  Transaction Number: 2
Agent DT3 issued deposit of $477.00 at: 9/22/24 7:16:16 PM EDT  Transaction Number: 4
Agent DT4 issued deposit of $469.00 at: 9/22/24 7:16:16 PM EDT  Transaction Number: 5
Agent WT1 issued withdrawal of $92.00 at: 9/22/24 7:16:16 PM EDT  Transaction Number: 15
Agent WT2 issued withdrawal of $90.00 at: 9/22/24 7:16:16 PM EDT  Transaction Number: 23
Agent WT1 issued withdrawal of $97.00 at: 9/22/24 7:16:17 PM EDT  Transaction Number: 31
Agent DT3 issued deposit of $560.00 at: 9/22/24 7:16:17 PM EDT  Transaction Number: 36
Agent WT7 issued withdrawal of $92.00 at: 9/22/24 7:16:17 PM EDT  Transaction Number: 44
Agent WT5 issued withdrawal of $95.00 at: 9/22/24 7:16:17 PM EDT  Transaction Number: 48
Agent TR1 issued transfer of $387.00 at: 9/22/24 7:16:17 PM EDT  Transaction Number: 54
Agent WT7 issued withdrawal of $91.00 at: 9/22/24 7:16:18 PM EDT  Transaction Number: 62
Agent DT1 issued deposit of $539.00 at: 9/22/24 7:16:18 PM EDT  Transaction Number: 84
Agent WT1 issued withdrawal of $99.00 at: 9/22/24 7:16:18 PM EDT  Transaction Number: 85
Agent WT6 issued withdrawal of $96.00 at: 9/22/24 7:16:19 PM EDT  Transaction Number: 114
Agent DT1 issued deposit of $474.00 at: 9/22/24 7:16:20 PM EDT  Transaction Number: 129
Agent WT7 issued withdrawal of $97.00 at: 9/22/24 7:16:20 PM EDT  Transaction Number: 134
Agent DT1 issued deposit of $573.00 at: 9/22/24 7:16:20 PM EDT  Transaction Number: 138
Agent WT2 issued withdrawal of $91.00 at: 9/22/24 7:16:20 PM EDT  Transaction Number: 159
Agent WT4 issued withdrawal of $98.00 at: 9/22/24 7:16:22 PM EDT  Transaction Number: 181
Agent WT8 issued withdrawal of $96.00 at: 9/22/24 7:16:22 PM EDT  Transaction Number: 195
Agent WT4 issued withdrawal of $93.00 at: 9/22/24 7:16:23 PM EDT  Transaction Number: 201
Agent WT4 issued withdrawal of $95.00 at: 9/22/24 7:16:23 PM EDT  Transaction Number: 203
Agent WT9 issued withdrawal of $93.00 at: 9/22/24 7:16:23 PM EDT  Transaction Number: 209
Agent WT2 issued withdrawal of $98.00 at: 9/22/24 7:16:23 PM EDT  Transaction Number: 211
Agent WT6 issued withdrawal of $95.00 at: 9/22/24 7:16:23 PM EDT  Transaction Number: 212
Agent WT6 issued withdrawal of $99.00 at: 9/22/24 7:16:23 PM EDT  Transaction Number: 224
Agent WT9 issued withdrawal of $90.00 at: 9/22/24 7:16:23 PM EDT  Transaction Number: 226
Agent DT0 issued deposit of $468.00 at: 9/22/24 7:16:24 PM EDT  Transaction Number: 231
Agent DT4 issued deposit of $513.00 at: 9/22/24 7:16:25 PM EDT  Transaction Number: 264
Agent WT9 issued withdrawal of $99.00 at: 9/22/24 7:16:25 PM EDT  Transaction Number: 268
Agent WT9 issued withdrawal of $93.00 at: 9/22/24 7:16:25 PM EDT  Transaction Number: 277
Agent WT3 issued withdrawal of $92.00 at: 9/22/24 7:16:25 PM EDT  Transaction Number: 278
Agent WT5 issued withdrawal of $93.00 at: 9/22/24 7:16:25 PM EDT  Transaction Number: 286
Agent DT2 issued deposit of $588.00 at: 9/22/24 7:16:25 PM EDT  Transaction Number: 289
Agent WT7 issued withdrawal of $96.00 at: 9/22/24 7:16:26 PM EDT  Transaction Number: 296
Agent DT4 issued deposit of $554.00 at: 9/22/24 7:16:26 PM EDT  Transaction Number: 316
Agent WT1 issued withdrawal of $91.00 at: 9/22/24 7:16:26 PM EDT  Transaction Number: 318
Agent WT7 issued withdrawal of $91.00 at: 9/22/24 7:16:26 PM EDT  Transaction Number: 320
Agent WT7 issued withdrawal of $93.00 at: 9/22/24 7:16:26 PM EDT  Transaction Number: 321
Agent WT9 issued withdrawal of $95.00 at: 9/22/24 7:16:26 PM EDT  Transaction Number: 326
Agent DT4 issued deposit of $513.00 at: 9/22/24 7:16:26 PM EDT  Transaction Number: 338
Agent WT8 issued withdrawal of $97.00 at: 9/22/24 7:16:26 PM EDT  Transaction Number: 340
Agent DT3 issued deposit of $564.00 at: 9/22/24 7:16:27 PM EDT  Transaction Number: 363
Agent WT0 issued withdrawal of $95.00 at: 9/22/24 7:16:27 PM EDT  Transaction Number: 365
Agent DT2 issued deposit of $543.00 at: 9/22/24 7:16:27 PM EDT  Transaction Number: 366
Agent WT8 issued withdrawal of $91.00 at: 9/22/24 7:16:27 PM EDT  Transaction Number: 370
Agent WT5 issued withdrawal of $94.00 at: 9/22/24 7:16:27 PM EDT  Transaction Number: 380
Agent WT0 issued withdrawal of $94.00 at: 9/22/24 7:16:27 PM EDT  Transaction Number: 382
Agent WT0 issued withdrawal of $91.00 at: 9/22/24 7:16:28 PM EDT  Transaction Number: 392
Agent DT4 issued deposit of $467.00 at: 9/22/24 7:16:28 PM EDT  Transaction Number: 393
Agent WT6 issued withdrawal of $95.00 at: 9/22/24 7:16:28 PM EDT  Transaction Number: 402
Agent WT0 issued withdrawal of $90.00 at: 9/22/24 7:16:28 PM EDT  Transaction Number: 405
Agent DT0 issued deposit of $567.00 at: 9/22/24 7:16:28 PM EDT  Transaction Number: 417
Agent DT1 issued deposit of $462.00 at: 9/22/24 7:16:28 PM EDT  Transaction Number: 419
Agent TR1 issued transfer of $373.00 at: 9/22/24 7:16:29 PM EDT  Transaction Number: 420
Agent DT4 issued deposit of $586.00 at: 9/22/24 7:16:29 PM EDT  Transaction Number: 428
Agent DT0 issued deposit of $553.00 at: 9/22/24 7:16:29 PM EDT  Transaction Number: 432
Agent WT5 issued withdrawal of $91.00 at: 9/22/24 7:16:29 PM EDT  Transaction Number: 449
Agent WT9 issued withdrawal of $98.00 at: 9/22/24 7:16:29 PM EDT  Transaction Number: 457
Agent WT7 issued withdrawal of $95.00 at: 9/22/24 7:16:30 PM EDT  Transaction Number: 465
Agent WT4 issued withdrawal of $92.00 at: 9/22/24 7:16:30 PM EDT  Transaction Number: 466
Agent WT7 issued withdrawal of $91.00 at: 9/22/24 7:16:30 PM EDT  Transaction Number: 484
Agent DT2 issued deposit of $566.00 at: 9/22/24 7:16:31 PM EDT  Transaction Number: 513
Agent DT0 issued deposit of $536.00 at: 9/22/24 7:16:31 PM EDT  Transaction Number: 527
Agent DT3 issued deposit of $598.00 at: 9/22/24 7:16:31 PM EDT  Transaction Number: 532
Agent WT1 issued withdrawal of $91.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 536
Agent TR1 issued transfer of $357.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 540
Agent DT1 issued deposit of $510.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 544
Agent WT9 issued withdrawal of $99.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 559
Agent WT5 issued withdrawal of $99.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 561
Agent WT8 issued withdrawal of $94.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 563
Agent DT0 issued deposit of $476.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 571
Agent WT0 issued withdrawal of $90.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 577
Agent DT4 issued deposit of $525.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 594
Agent DT2 issued deposit of $537.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 595
Agent WT0 issued withdrawal of $91.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 596
Agent WT9 issued withdrawal of $91.00 at: 9/22/24 7:16:32 PM EDT  Transaction Number: 601
